"","year","month","mean_temp_ger"
"949",1977,"07",16.48
"950",1978,"07",15.5
"951",1979,"07",15.33
"952",1980,"07",15.08
"953",1981,"07",16.35
"954",1982,"07",18.91
"955",1983,"07",20.38
"956",1984,"07",15.87
"957",1985,"07",17.35
"958",1986,"07",17.03
"959",1987,"07",16.92
"960",1988,"07",17.02
"961",1989,"07",17.73
"962",1990,"07",16.67
"963",1991,"07",19.16
"964",1992,"07",18.64
"965",1993,"07",16.09
"966",1994,"07",21.34
"967",1995,"07",20.07
"968",1996,"07",15.89
"969",1997,"07",17.15
"970",1998,"07",16.42
"971",1999,"07",18.98
"972",2000,"07",15.3
"973",2001,"07",18.56
"974",2002,"07",17.71
"975",2003,"07",19.11
"976",2004,"07",16.8
"977",2005,"07",18.02
"978",2006,"07",21.99
"979",2007,"07",17.24
"980",2008,"07",18.02
"981",2009,"07",18.01
"982",2010,"07",20.33
"983",2011,"07",16.1
"984",2012,"07",17.39
"985",2013,"07",19.45
"986",2014,"07",19.3
"987",2015,"07",19.39
"988",2016,"07",18.61
"989",2017,"07",18.06
"990",2018,"07",20.29
"991",2019,"07",18.9
"992",2020,"07",17.69
"993",2021,"07",18.37
"994",2022,"07",19.13
"995",1881,"08",15.9
"996",1882,"08",14.89
"997",1883,"08",15.9
"998",1884,"08",17.01
"999",1885,"08",14.56
"1000",1886,"08",16.91
"1001",1887,"08",15.7
"1002",1888,"08",15.05
"1003",1889,"08",15.35
"1004",1890,"08",16.51
"1005",1891,"08",14.98
"1006",1892,"08",18.07
"1007",1893,"08",16.99
"1008",1894,"08",15.43
"1009",1895,"08",16.49
"1010",1896,"08",14.28
"1011",1897,"08",17.12
"1012",1898,"08",17.99
"1013",1899,"08",16.77
"1014",1900,"08",16.17
"1015",1901,"08",16.38
"1016",1902,"08",14.71
"1017",1903,"08",15.42
"1018",1904,"08",16.49
"1019",1905,"08",16.46
"1020",1906,"08",16.49
"1021",1907,"08",15.67
"1022",1908,"08",14.48
"1023",1909,"08",16.22
"1024",1910,"08",15.83
"1025",1911,"08",19.42
"1026",1912,"08",13.97
"1027",1913,"08",14.84
"1028",1914,"08",17.2
"1029",1915,"08",15.22
"1030",1916,"08",15.9
"1031",1917,"08",16.66
"1032",1918,"08",15.9
"1033",1919,"08",16.09
"1034",1920,"08",15
"1035",1921,"08",17.25
"1036",1922,"08",15.36
"1037",1923,"08",15.74
"1038",1924,"08",14.52
"1039",1925,"08",16.52
"1040",1926,"08",15.97
"1041",1927,"08",16.42
"1042",1928,"08",16.19
"1043",1929,"08",17.1
"1044",1930,"08",15.95
"1045",1931,"08",15.42
"1046",1932,"08",18.73
"1047",1933,"08",16.93
"1048",1934,"08",16.4
"1049",1935,"08",16.62
"1050",1936,"08",16.18
"1051",1937,"08",17.05
"1052",1938,"08",17.66
"1053",1939,"08",17.49
"1054",1940,"08",14.51
"1055",1941,"08",14.95
"1056",1942,"08",17.61
"1057",1943,"08",17.91
